,smiles,Standard Value
0,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)NCc2cccc([N+](=O)[O-])c2)c(F)c1,2.0
1,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2cccc(C#N)c2)cc1,2.3010299956639813
2,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(S(=O)(=O)c2ccccc2)cc1,2.0
3,C#CCN(Cc1ccc2nc(CO)nc(O)c2c1)c1ccc(C(=O)NCc2cccc([N+](=O)[O-])c2)cc1,2.6020599913279625
4,C#CCN(Cc1ccc2nc(CSc3nccc(O)n3)nc(O)c2c1)c1ccc(C(=O)NCc2cccc([N+](=O)[O-])c2)cc1,2.3010299956639813
5,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.6232492903979
6,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,2.903089986991944
7,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,4.220108088040055
8,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,3.0
9,C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4.729974285699556
10,C=CCN(C(=O)NCc1cccc(C)c1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.959041392321093
11,C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4.459392487759231
12,C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,3.6720978579357175
13,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,6.159988050381987
14,CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2.903089986991944
15,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,3.278753600952829
16,CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,4.9599948383284165
17,CC(=O)N(C1=C(NCCO)C(=O)c2ccccc2C1=O)c1cccc(Br)c1,4.068185861746161
18,CC(=O)N1CCC(NC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)CC1,5.810030786405839
19,CC(=O)N1CCC(n2cc(-c3cnc(N)c(-c4nc5ccccc5o4)c3)cn2)CC1,3.230448921378274
20,CC(=O)N1CCN(CC(O)CN2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)CC1,5.330007700872759
