,smiles,Standard Value
0,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.6920139371884717
1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1.043230816114475
2,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,0.9451378353582436
3,C(#Cc1n[nH]c2ccccc12)c1ccccc1,1.5440680443502757
4,C(=C/c1nn[nH]n1)\c1ccccc1,0.4771212547196624
5,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.1760912590556813
6,C=CC(=O)Nc1ccc(C)cc1,1.635012927940211
7,C=CC(=O)Nc1ccc(F)cc1,1.0285666836245433
8,C=CC(=O)Nc1ccc(OC)cc1,1.3301078182350805
9,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,1.6830713384074438
10,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,1.7700051662958804
11,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,1.209906278162555
12,C=CC(=O)Nc1ccccc1,1.4999834961825347
13,C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1.0
14,C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,1.920018916028915
15,C=CCc1ccccc1OCC(O)CNC(C)C,1.6480033346568361
16,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1.3251318028376313
17,CC,2.1760912590556813
18,CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,1.190051417759206
19,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1.6638510734211902
20,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.5986402790628096
21,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,0.4771212547196624
22,CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,0.5403294747908738
23,CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,1.9500239065233265
24,CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,2.1760912590556813
25,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(C)cc1,1.554995187275566
26,CC(=O)NCc1cccc(C(=O)O)c1,1.5899496013257075
27,CC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,0.4771212547196624
28,CC(=O)Nc1ccc(CC(=O)N(C)C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,1.414973347970818
29,CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(F)cc4)c23)cc1,1.4471580313422192
30,CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1,1.8750612633917
31,CC(=O)Nc1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1,1.0791812460476249
32,CC(=O)Nc1ccc(O)cc1,0.7701914564835821
33,CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,0.9030899869919436
34,CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,0.4771212547196624
35,CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,1.089905111439398
36,CC(=O)Nc1ccc2c(c1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,1.5563025007672873
37,CC(=O)Nc1ccc2ccn(-c3cc(NC4COC4)n4ncc(C#N)c4n3)c2c1,1.3400473176613932
38,CC(=O)Nc1ccc2ccn(-c3cc(Nc4ccn(C)n4)n4ncc(C#N)c4n3)c2c1,1.63002085111341
39,CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,0.4771212547196624
40,CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,0.8548994675487406
41,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,2.1760912590556813
42,CC(=O)c1cc2ccc(O)cc2oc1=O,1.8130161239145095
43,CC(=O)c1ccc(N2CCN(S(=O)(=O)C[C@]34CC[C@H](CC3=O)C4(C)C)CC2)nc1,2.1760912590556813
44,CC(=O)c1cn(Cc2ccccc2)c(=O)n(Cc2ccc(F)cc2)c1=O,1.848025219903875
