SMILES,Standard Value,dset,group,fold,fingerprint,molbert,molformer,physchem
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1.043230816114475,train,random,0,,,,
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,0.9451378353582436,train,random,0,,,,
C(#Cc1n[nH]c2ccccc12)c1ccccc1,1.5440680443502757,train,random,0,,,,
C(=C/c1nn[nH]n1)\c1ccccc1,0.4771212547196624,train,random,0,,,,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.1760912590556813,train,random,0,,,,
C=CC(=O)Nc1ccc(F)cc1,1.0285666836245433,train,random,0,,,,
C=CC(=O)Nc1ccc(OC)cc1,1.3301078182350805,train,random,0,,,,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,1.209906278162555,train,random,0,,,,
C=CC(=O)Nc1ccccc1,1.499983496182535,train,random,0,,,,
C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,1.920018916028915,train,random,0,,,,
C=CCc1ccccc1OCC(O)CNC(C)C,1.648003334656836,train,random,0,,,,
CC,2.1760912590556813,train,random,0,,,,
CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,1.190051417759206,train,random,0,,,,
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.5986402790628096,train,random,0,,,,
CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,0.4771212547196624,train,random,0,,,,
CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,1.9500239065233265,train,random,0,,,,
CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,2.1760912590556813,train,random,0,,,,
CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(C)cc1,1.554995187275566,train,random,0,,,,
CC(=O)NCc1cccc(C(=O)O)c1,1.5899496013257075,train,random,0,,,,
CC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,0.4771212547196624,train,random,0,,,,
CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(F)cc4)c23)cc1,1.4471580313422192,train,random,0,,,,
CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1,1.8750612633917,train,random,0,,,,
CC(=O)Nc1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1,1.0791812460476249,train,random,0,,,,
CC(=O)Nc1ccc(O)cc1,0.7701914564835821,train,random,0,,,,
CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,0.9030899869919436,train,random,0,,,,
CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,0.4771212547196624,train,random,0,,,,
CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,1.089905111439398,train,random,0,,,,
CC(=O)Nc1ccc2ccn(-c3cc(NC4COC4)n4ncc(C#N)c4n3)c2c1,1.3400473176613932,train,random,0,,,,
CC(=O)Nc1ccc2ccn(-c3cc(Nc4ccn(C)n4)n4ncc(C#N)c4n3)c2c1,1.63002085111341,train,random,0,,,,
CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,0.4771212547196624,train,random,0,,,,
CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,0.8548994675487406,train,random,0,,,,
